2023-02-01 22:50:35.327 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 22:50:38.275 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 22:50:40.182 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 22:50:44.169 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 22:50:46.779 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 22:51:00.067 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 22:51:02.477 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 22:51:05.452 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 22:51:08.463 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 22:51:14.891 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 22:51:15.695 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 22:51:18.481 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 22:51:24.300 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 22:51:26.970 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 22:51:27.374 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 22:51:30.034 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 22:51:32.642 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 22:51:36.719 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 22:51:37.423 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 22:51:41.298 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 22:51:46.514 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 22:51:49.125 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 22:51:58.050 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 22:52:03.654 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 22:52:14.587 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 22:52:17.203 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 22:52:20.315 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 22:52:22.948 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 22:52:28.363 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 22:52:35.250 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 22:52:37.458 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 22:53:18.411 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 23:02:42.600 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 23:02:45.491 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 23:03:02.440 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 23:03:06.300 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 23:03:07.406 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 23:03:11.288 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 23:03:24.332 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 23:03:29.245 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 23:03:35.367 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 23:03:42.985 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 23:03:44.492 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 23:03:52.125 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 23:03:53.231 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 23:03:57.062 | INFO     | server:startup_event:42 - Setup completed
2023-02-01 23:07:46.756 | INFO     | server:shutdown_event:53 - Shutting down application
2023-02-01 23:07:49.575 | INFO     | server:startup_event:42 - Setup completed
